to_ss	to_word	relation	from_ss	from_word	isvisual	cardinality	score
108182283	peasantry	hasMember	110410996	peasant	 	3+ 	1
108388783	baronetage	hasMember	100007846	person	 	3+ 	1
102233577	Blattidae	hasMember	102235078	Blaberus	 	3+ 	1
101843932	Trogonidae	hasMember	101333610	Reoviridae	 	3+ 	1
102454119	Dasypodidae	hasMember	108108784	tribe	 	3+ 	1
112367122	Hypericaceae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
108272086	French Foreign Legion	hasMember	108357992	quorum	 	3+ 	1
108319061	chamber of commerce	hasMember	108357992	quorum	 	3+ 	1
101936219	Polychaeta	hasMember	101937015	Terebellidae	 	3+ 	1
102134589	Viverridae	hasMember	102136285	Cryptoprocta	 	3+ 	1
111663136	Pseudotaxus	hasMember	111663263	white-berry yew	 	3+ 	1
111867525	Cruciferae	hasMember	111891050	Lobularia	 	3+ 	1
112317919	Juglandaceae	hasMember	112319687	Carya	 	3+ 	1
112009616	Sanvitalia	hasMember	112009792	creeping zinnia	 	3+ 	1
102187759	Echidnophaga	hasMember	108110373	species	 	3+ 	1
102421612	Madoqua	hasMember	108110373	species	 	3+ 	1
101408383	Ulvaceae	hasMember	101333610	Reoviridae	 	3+ 	1
102571300	Priacanthidae	hasMember	101333610	Reoviridae	 	3+ 	1
102367131	Chinchillidae	hasMember	101333610	Reoviridae	 	3+ 	1
102400139	Bovidae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
101499898	Mobulidae	hasMember	101500091	manta	 	3+ 	1
101995323	Artemia	hasMember	108109624	subgenus	 	3+ 	1
113065902	Ustilaginales	hasMember	108107499	family	 	3+ 	1
101450453	Holocentrus	hasMember	101451115	deepwater squirrelfish	 	3+ 	1
111702428	Cercidiphyllaceae	hasMember	101332347	Togaviridae	 	3+ 	1
101918310	Ctenophora	hasMember	101919099	Nuda	 	3+ 	1
108279524	military academy	hasMember	108357992	quorum	 	3+ 	1
101617633	Neophron	hasMember	108110373	species	 	3+ 	1
112751554	Empetrum	hasMember	112751675	crowberry	 	3+ 	1
101770553	Chelonethida	hasMember	101770795	false scorpion	 	3+ 	1
106497872	Roman alphabet	hasMember	106832248	K	 	3+ 	1
101470018	genus Doliolum	hasMember	101470145	doliolum	 	3+ 	1
102541875	Elops	hasMember	108109624	subgenus	 	3+ 	1
101719645	Therapsida	hasMember	101720496	Cynodontia	 	3+ 	1
102521916	Gadidae	hasMember	101333082	Arenaviridae	 	3+ 	1
108074225	shoe industry	hasMember	110287213	man	 	3+ 	0.8
102252429	Aphididae	hasMember	108108972	genus	 	3+ 	1
101987353	Palaemon	hasMember	108109624	subgenus	 	3+ 	1
112405209	Ulmus	hasMember	112407890	English elm	 	3+ 	1
112202352	Tiliaceae	hasMember	101333082	Arenaviridae	 	3+ 	1
101341876	Monera	hasMember	101342269	moneran	 	3+ 	1
112494629	Delonix	hasMember	108110373	species	 	3+ 	1
103065063	cog railway	hasMember	108357992	quorum	 	3+ 	1
111875100	Brassica	hasMember	108109624	subgenus	 	3+ 	1
108079852	basketball team	hasMember	108400965	membership	 	3+ 	1
111942366	Buphthalmum	hasMember	111942487	oxeye	 	3+ 	1
112319687	Carya	hasMember	112320627	pignut	 	3+ 	1
101825758	Picariae	hasMember	108107191	suborder	 	3+ 	1
108107499	family	hasMember	108108972	genus	 	1	1
111911591	Compositae	hasMember	111962108	Echinacea	 	3+ 	1
108412492	Sunday school	hasMember	109917593	child	 	3+ 	0.8
102219234	Formicidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
112501035	Tamarindus	hasMember	108109624	subgenus	 	3+ 	1
101444520	Catostomidae	hasMember	101332347	Togaviridae	 	3+ 	1
102014646	Rallidae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
102599784	Mullidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
101529036	Fringillidae	hasMember	108108784	tribe	 	3+ 	1
111651731	Podocarpus	hasMember	108109624	subgenus	 	3+ 	1
101487743	Rhincodontidae	hasMember	108108784	tribe	 	3+ 	1
102553196	Perciformes	hasMember	102570648	Embiotocidae	 	3+ 	1
107945949	deaf	hasMember	109316454	island	 	3+ 	0.8
102472012	genus Homo	hasMember	102475078	Neandertal man	 	3+ 	1
112347892	Trapaceae	hasMember	101331345	Bunyaviridae	 	3+ 	1
102120692	Felidae	hasMember	102121234	Felis	 	3+ 	1
102536165	sockeye	hasMember	102530052	whitebait	 	3+ 	1
101313093	Animalia	hasMember	102315696	Sipuncula	 	3+ 	1
112605315	Xyridaceae	hasMember	101332347	Togaviridae	 	3+ 	1
102438774	Giraffidae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
101960301	Ostreidae	hasMember	101960900	Ostrea	 	3+ 	1
108208560	team	hasMember	110662162	stringer	 	3+ 	1
101999048	Lepas	hasMember	108109624	subgenus	 	3+ 	1
108220891	division	hasMember	108103299	subphylum	 	3+ 	1
101576212	Sphecotheres	hasMember	108109624	subgenus	 	3+ 	1
111659068	Saxe-gothea	hasMember	108109624	subgenus	 	3+ 	1
101356086	Eubacteriales	hasMember	108107499	family	 	3+ 	1
108067077	automobile industry	hasMember	110287213	man	 	3+ 	0.8
112955191	Schizaea	hasMember	108110373	species	 	3+ 	1
101986072	Pagurus	hasMember	108109624	subgenus	 	3+ 	1
102165247	Coccinellidae	hasMember	108108627	subfamily	 	3+ 	1
108079319	baseball team	hasMember	100724433	left field	 	3+ 	1
112344996	Punicaceae	hasMember	101331345	Bunyaviridae	 	3+ 	1
102506466	Gomphotheriidae	hasMember	108108972	genus	 	3+ 	1
101694430	Varanidae	hasMember	101333610	Reoviridae	 	3+ 	1
102022135	Charadrii	hasMember	102025530	Scolopacidae	 	3+ 	1
108128159	Joint Chiefs of Staff	hasMember	108357992	quorum	 	3+ 	1
111995683	Melampodium	hasMember	111995840	blackfoot daisy	 	3+ 	1
112759120	Anacardium	hasMember	108110373	species	 	3+ 	1
112616825	Groenlandia	hasMember	108110373	species	 	3+ 	1
112888733	Verbascum	hasMember	112888906	mullein	 	3+ 	1
112326842	Myriophyllum	hasMember	108109624	subgenus	 	3+ 	1
108402693	diplomatic mission	hasMember	109821086	attache	 	3+ 	1
102632694	Stromateidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
108282109	finishing school	hasMember	108518374	campus	 	3+ 	0.8
108382056	British Cabinet	hasMember	110015485	director	 	3+ 	1
108052330	Downing Street	hasMember	108400965	membership	 	3+ 	1
112039743	Orchidaceae	hasMember	112060118	Dryadella	 	3+ 	1
108301525	International Labor Organization	hasMember	108400965	membership	 	3+ 	1
111927616	Arnoseris	hasMember	108109624	subgenus	 	3+ 	1
112933827	genus Astrantia	hasMember	108109624	subgenus	 	3+ 	1
101663659	Chelonia	hasMember	108109624	subgenus	 	3+ 	1
108172103	Arab League	hasMember	108400965	membership	 	3+ 	1
108174398	North Atlantic Treaty Organization	hasMember	108766988	Germany	 	3+ 	1
101579868	Garrulinae	hasMember	101331345	Bunyaviridae	 	3+ 	1
102553196	Perciformes	hasMember	102573406	Pomatomidae	 	3+ 	1
101728445	Carphophis	hasMember	108110373	species	 	3+ 	1
108172103	Arab League	hasMember	108305942	ally	 	3+ 	1
112693590	Callitrichaceae	hasMember	101332653	Flaviviridae	 	3+ 	1
107942152	people	hasMember	108654360	state	 	3+ 	0.999449094224284
107988857	couple	hasMember	110235549	relative	 	3+ 	1
108326850	ethics committee	hasMember	109943811	commissioner	 	3+ 	0.8
108050678	government	hasMember	108400965	membership	 	3+ 	1
108287182	varsity	hasMember	110287213	man	 	3+ 	0.8
108402339	alma mater	hasMember	110287213	man	 	3+ 	0.8
113224256	Selaginellaceae	hasMember	113224454	Selaginella	 	3+ 	1
111562747	dicot family	hasMember	101333082	Arenaviridae	 	3+ 	1
102118854	Vulpes	hasMember	108110373	species	 	3+ 	1
108235173	union shop	hasMember	108400965	membership	 	3+ 	1
101656340	Stegocephalia	hasMember	108107499	family	 	3+ 	1
113183669	Pleurosorus	hasMember	108109624	subgenus	 	3+ 	1
108401711	rank and file	hasMember	109876892	brother	 	3+ 	0.8
111801247	Aristolochia	hasMember	108110373	species	 	3+ 	1
111911591	Compositae	hasMember	111943299	genus Calendula	 	3+ 	1
112685214	Geraniaceae	hasMember	101332347	Togaviridae	 	3+ 	1
113006377	Lactarius	hasMember	108110373	species	 	3+ 	1
113202749	Lomariopsidaceae	hasMember	101333082	Arenaviridae	 	3+ 	1
102415971	Ammotragus	hasMember	108110373	species	 	3+ 	1
112028196	Tripleurospermum	hasMember	108109624	subgenus	 	3+ 	1
102054251	Anhingidae	hasMember	101333082	Arenaviridae	 	3+ 	1
112119947	Eragrostis	hasMember	112120114	love grass	 	3+ 	1
112717524	Irvingia	hasMember	108109624	subgenus	 	3+ 	1
113053187	Fistulinaceae	hasMember	108108627	subfamily	 	3+ 	1
112721864	Guaiacum	hasMember	112722567	bastard lignum vitae	 	3+ 	1
111697158	Berberidaceae	hasMember	111697388	Berberis	 	3+ 	1
102440705	Mustelidae	hasMember	102446512	Conepatus	 	3+ 	1
101804029	Chrysolophus	hasMember	108110373	species	 	3+ 	1
111910070	Dicentra	hasMember	108109624	subgenus	 	3+ 	1
108217135	brass section	hasMember	108400965	membership	 	3+ 	1
112048231	genus Caladenia	hasMember	108110373	species	 	3+ 	1
112098665	Armeria	hasMember	112098827	thrift	 	3+ 	1
108236027	Lions Club	hasMember	110787470	woman	 	3+ 	0.8
101467504	Amphioxidae	hasMember	101333610	Reoviridae	 	3+ 	1
113149039	Piper	hasMember	113149970	betel	 	3+ 	1
101830316	Phoeniculus	hasMember	101830479	wood hoopoe	 	3+ 	1
112569233	genus Sesbania	hasMember	108109624	subgenus	 	3+ 	1
112946088	Cornaceae	hasMember	112948849	Curtisia	 	3+ 	1
102025530	Scolopacidae	hasMember	102026059	sandpiper	 	3+ 	1
101926840	Schistosomatidae	hasMember	108108972	genus	 	3+ 	1
113067845	Tilletiaceae	hasMember	108108784	tribe	 	3+ 	1
101591490	Paridae	hasMember	101332347	Togaviridae	 	3+ 	1
101810946	Raphidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
101810946	Raphidae	hasMember	108108784	tribe	 	3+ 	1
112479066	Dracenaceae	hasMember	101333082	Arenaviridae	 	3+ 	1
102177644	Anobiidae	hasMember	108108972	genus	 	3+ 	1
112314315	Hamamelidaceae	hasMember	112315424	Corylopsis	 	3+ 	1
102175263	Cetoniidae	hasMember	108108627	subfamily	 	3+ 	1
112668732	Nauclea	hasMember	108110373	species	 	3+ 	1
101740283	Typhlopidae	hasMember	108108627	subfamily	 	3+ 	1
108394535	Union Army	hasMember	110622053	soldier	 	3+ 	0.8
112965056	Hypocreales	hasMember	108107191	suborder	 	3+ 	1
108298319	Economic Commission for Europe	hasMember	108400965	membership	 	3+ 	1
102638323	Ganoidei	hasMember	102638596	ganoid	 	3+ 	1
108078819	major-league club	hasMember	110665698	student	 	3+ 	0.8
102593863	Sciaenidae	hasMember	101333082	Arenaviridae	 	3+ 	1
107950685	tradespeople	hasMember	109917593	child	 	3+ 	0.8
113049561	Polyporaceae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
102240377	Cimex	hasMember	102240517	bedbug	 	3+ 	1
111597924	Ephedraceae	hasMember	101331345	Bunyaviridae	 	3+ 	1
112618336	Zosteraceae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
102072209	Monodontidae	hasMember	101332653	Flaviviridae	 	3+ 	1
101696525	Loricata	hasMember	108107499	family	 	3+ 	1
107947789	grass roots	hasMember	110307234	member	 	3+ 	0.8
107943300	peoples	hasMember	110080869	father	 	3+ 	0.8
112714114	Poncirus	hasMember	112714254	trifoliate orange	 	3+ 	1
113015826	Pellicularia	hasMember	108110373	species	 	3+ 	1
101665761	Chelydridae	hasMember	101333082	Arenaviridae	 	3+ 	1
113203708	Loxoma	hasMember	108110373	species	 	3+ 	1
108266669	mortality table	hasMember	108433575	column	 	3+ 	1
102164973	Cicindelidae	hasMember	108108784	tribe	 	3+ 	1
102420994	genus Addax	hasMember	108110373	species	 	3+ 	1
101828714	Meropidae	hasMember	101332347	Togaviridae	 	3+ 	1
101553879	Hylophylax	hasMember	101554017	spotted antbird	 	3+ 	1
112423565	Liliaceae	hasMember	112455787	genus Gloriosa	 	3+ 	1
102007422	Phoenicopteridae	hasMember	101333082	Arenaviridae	 	3+ 	1
101594157	Hirundinidae	hasMember	101332347	Togaviridae	 	3+ 	1
112619306	Rosaceae	hasMember	112632875	Heteromeles	 	3+ 	1
101948154	Littorinidae	hasMember	101333610	Reoviridae	 	3+ 	1
107973868	foster home	hasMember	110787470	woman	 	3+ 	0.8
112126238	Oryzopsis	hasMember	112126360	ricegrass	 	3+ 	1
112916935	Euphorbiaceae	hasMember	112927921	Pedilanthus	 	3+ 	1
108389297	artillery	hasMember	108400965	membership	 	3+ 	1
112501745	Papilionoideae	hasMember	112526946	Dipogon	 	3+ 	1
112371911	Canellaceae	hasMember	108108627	subfamily	 	3+ 	1
111606846	Cordaites	hasMember	108110373	species	 	3+ 	1
108129621	Bureau of the Census	hasMember	108357992	quorum	 	3+ 	1
112780852	Darlingtonia	hasMember	108109624	subgenus	 	3+ 	1
102321759	Holothuridae	hasMember	101331345	Bunyaviridae	 	3+ 	1
101950952	Aplysiidae	hasMember	101951107	Aplysia	 	3+ 	1
112764703	Schinus	hasMember	112765402	Brazilian pepper tree	 	3+ 	1
101677613	Amblyrhynchus	hasMember	101677747	marine iguana	 	3+ 	1
108413092	secondary modern school	hasMember	108651247	site	 	3+ 	0.8
108107499	family	hasMember	101333610	Reoviridae	 	3+ 	1
102244007	Reduviidae	hasMember	102244396	Triatoma	 	3+ 	1
101566386	Timaliidae	hasMember	101333610	Reoviridae	 	3+ 	1
102652335	Plectognathi	hasMember	102653655	Monocanthidae	 	3+ 	1
101690703	Xenosauridae	hasMember	101332347	Togaviridae	 	3+ 	1
112501745	Papilionoideae	hasMember	112520864	broom	 	3+ 	1
108438928	grove	hasMember	108439476	underbrush	 	3+ 	1
108230009	jockey club	hasMember	110308394	club member	 	3+ 	1
102649689	Triglidae	hasMember	102650050	gurnard	 	3+ 	1
112524518	Dalea	hasMember	112524633	smoke tree	 	3+ 	1
112937822	Eryngium	hasMember	108110373	species	 	3+ 	1
102168121	Lampyridae	hasMember	108108972	genus	 	3+ 	1
112199564	Heritiera	hasMember	108109624	subgenus	 	3+ 	1
108120910	security	hasMember	110787470	woman	 	3+ 	0.8
102556623	Percidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
108251104	cohort	hasMember	110787470	woman	 	3+ 	0.8
102290521	Cadra	hasMember	102290870	raisin moth	 	3+ 	1
101615825	Pandionidae	hasMember	108108784	tribe	 	3+ 	1
107944242	baffled	hasMember	108524735	city	 	3+ 	0.8
108407000	private foundation	hasMember	108400965	membership	 	3+ 	1
112963307	Erysiphaceae	hasMember	108108972	genus	 	3+ 	1
107949463	nationality	hasMember	108654360	state	 	3+ 	0.8
112515219	Chorizema	hasMember	108109624	subgenus	 	3+ 	1
112325497	Elaeagnaceae	hasMember	108108627	subfamily	 	3+ 	1
102230355	Oecanthus	hasMember	102230480	tree cricket	 	3+ 	1
108340153	Intelligence Community	hasMember	108348091	National Security Agency	 	3+ 	1
111705921	Lindera	hasMember	111706325	spicebush	 	3+ 	1
112501745	Papilionoideae	hasMember	112530208	Genista	 	3+ 	1
107949463	nationality	hasMember	110787470	woman	 	3+ 	0.8
102570312	Rypticus	hasMember	108110373	species	 	3+ 	1
101621714	Strigidae	hasMember	101333610	Reoviridae	 	3+ 	1
113224086	Selaginellales	hasMember	108107191	suborder	 	3+ 	1
112873646	Martyniaceae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
108321621	syndicalism	hasMember	108358594	cadre	 	3+ 	1
102546177	Trachipteridae	hasMember	101333610	Reoviridae	 	3+ 	1
113233012	Asclepiadaceae	hasMember	113237788	Sarcostemma	 	3+ 	1
112893094	Solanum	hasMember	112897999	potato tree	 	3+ 	1
108401711	rank and file	hasMember	108665504	town	 	3+ 	0.8
113233012	Asclepiadaceae	hasMember	101333082	Arenaviridae	 	3+ 	1
112779233	Sarraceniaceae	hasMember	112779437	Sarracenia	 	3+ 	1
101983958	Nephropsidae	hasMember	101984131	Nephrops	 	3+ 	1
111778534	Araceae	hasMember	108108784	tribe	 	3+ 	1
102582437	Bramidae	hasMember	102582591	Brama	 	3+ 	1
108156685	Plantagenet	hasMember	110308275	clansman	 	3+ 	1
112050766	Cephalanthera	hasMember	108109624	subgenus	 	3+ 	1
101524885	Oscines	hasMember	101528087	Motacillidae	 	3+ 	1
102611767	Uranoscopidae	hasMember	101333610	Reoviridae	 	3+ 	1
101960900	Ostrea	hasMember	101961234	Japanese oyster	 	3+ 	1
102378755	steed	hasMember	102376542	foal	 	3+ 	1
101771966	Araneae	hasMember	101774595	Theraphosidae	 	3+ 	1
108125993	Interstate Commerce Commission	hasMember	108400965	membership	 	3+ 	1
103394272	freight liner	hasMember	102932523	cabin car	 	3+ 	1
111910835	Asteridae	hasMember	111579418	asterid dicot genus	 	3+ 	1
112064996	Habenaria	hasMember	112065777	rein orchid	 	3+ 	1
112607896	Tillandsia	hasMember	108109624	subgenus	 	3+ 	1
111641275	Sequoiadendron	hasMember	108109624	subgenus	 	3+ 	1
101989390	Praunus	hasMember	108109624	subgenus	 	3+ 	1
108243081	detail	hasMember	108400965	membership	 	3+ 	1
108288390	tribal society	hasMember	110287213	man	 	3+ 	0.8
112964321	Neurospora	hasMember	108110373	species	 	3+ 	1
101502262	Aves	hasMember	102057478	Procellariiformes	 	3+ 	1
102562680	Pomoxis	hasMember	102562796	crappie	 	3+ 	1
108052874	local government	hasMember	108166187	judiciary	 	3+ 	1
108147019	communion	hasMember	108357992	quorum	 	3+ 	1
112624249	Chaenomeles	hasMember	112624381	flowering quince	 	3+ 	1
102161944	Mecoptera	hasMember	102162404	Panorpidae	 	3+ 	1
112612640	common arrowhead	hasMember	108110373	species	 	3+ 	1
111538582	Anthocerotaceae	hasMember	101332347	Togaviridae	 	3+ 	1
111827169	Batidaceae	hasMember	111827348	Batis	 	3+ 	1
108503004	banana republic	hasMember	108548733	department	 	3+ 	1
102663657	Soleidae	hasMember	108108972	genus	 	3+ 	1
113027190	Aspergillaceae	hasMember	113027670	Thielavia	 	3+ 	1
108307267	vaisya	hasMember	108306371	jati	 	3+ 	1
111768242	Acocanthera	hasMember	111768505	winter sweet	 	3+ 	1
111796744	Araliaceae	hasMember	108108972	genus	 	3+ 	1
108285594	vocational school	hasMember	110560352	school teacher	 	3+ 	1
108054721	financial institution	hasMember	108357992	quorum	 	3+ 	1
108178547	state	hasMember	108166187	judiciary	 	3+ 	1
101618671	Cathartidae	hasMember	101620003	Gymnogyps	 	3+ 	1
102525866	Anguilliformes	hasMember	108107499	family	 	3+ 	1
111766609	Apocynaceae	hasMember	111777365	Trachelospermum	 	3+ 	1
108372190	peer group	hasMember	108544813	country	 	3+ 	0.8
108280462	Academy of Motion Picture Arts and Sciences	hasMember	109759501	academician	 	3+ 	1
108080510	junior varsity	hasMember	108654360	state	 	3+ 	0.8
102245592	Homoptera	hasMember	102252039	Aphidoidea	 	3+ 	1
108216795	section	hasMember	110582746	man	 	3+ 	1
112445848	Calochortus	hasMember	112446200	mariposa	 	3+ 	1
108048625	fiefdom	hasMember	110287213	man	 	3+ 	0.8
111827775	Chenopodiaceae	hasMember	108108784	tribe	 	3+ 	1
102353037	Muscardinus	hasMember	108109624	subgenus	 	3+ 	1
102397251	Tayassuidae	hasMember	101333610	Reoviridae	 	3+ 	1
112486254	Linaceae	hasMember	101333082	Arenaviridae	 	3+ 	1
102162404	Panorpidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
102306159	Lasiocampidae	hasMember	101332347	Togaviridae	 	3+ 	1
113148019	Parthenocissus	hasMember	113148208	Boston ivy	 	3+ 	1
112188985	Bombacaceae	hasMember	101333610	Reoviridae	 	3+ 	1
101586541	Mimidae	hasMember	101587713	Toxostoma	 	3+ 	1
