to_ss	to_word	relation	from_ss	from_word	isvisual	cardinality	score
108178085	welfare state	hasMember	108400965	membership	 	3+ 	1
102558980	Brotulidae	hasMember	101332653	Flaviviridae	 	3+ 	1
111743109	Juncaceae	hasMember	101331345	Bunyaviridae	 	3+ 	1
101759182	arthropod family	hasMember	108108627	subfamily	 	3+ 	1
108369406	generation	hasMember	108513718	place	 	3+ 	0.8
112839319	mint	hasMember	112864038	Rosmarinus	 	3+ 	1
108456727	bureaucracy	hasMember	108357258	civil service	 	3+ 	1
112169526	Malvales	hasMember	112194776	Sterculiaceae	 	3+ 	1
113233012	Asclepiadaceae	hasMember	113236726	genus Hoya	 	3+ 	1
111964688	genus Engelmannia	hasMember	108109624	subgenus	 	3+ 	1
101483707	Lamna	hasMember	101483830	porbeagle	 	3+ 	1
112325667	Elaeagnus	hasMember	108109624	subgenus	 	3+ 	1
102611767	Uranoscopidae	hasMember	102611898	stargazer	 	3+ 	1
108320201	soviet	hasMember	110307234	member	 	3+ 	0.8
102538730	Coregonidae	hasMember	101332347	Togaviridae	 	3+ 	1
112182858	Malacothamnus	hasMember	108109624	subgenus	 	3+ 	1
101417807	Peridiniidae	hasMember	101417982	Peridinium	 	3+ 	1
102066450	Odontoceti	hasMember	102071905	Platanistidae	 	3+ 	1
111749742	Coumarouna	hasMember	108110373	species	 	3+ 	1
102074004	Dugongidae	hasMember	108108627	subfamily	 	3+ 	1
102242293	Nepidae	hasMember	102242669	Nepa	 	3+ 	1
112094121	Hottonia	hasMember	108109624	subgenus	 	3+ 	1
112930044	Umbelliferae	hasMember	112936713	Cuminum	 	3+ 	1
102134589	Viverridae	hasMember	102138042	Paradoxurus	 	3+ 	1
101633047	Cryptobranchidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
108187033	company	hasMember	108237863	cast	 	3+ 	1
112598409	Plantaginaceae	hasMember	112598629	Plantago	 	3+ 	1
101413071	Nitella	hasMember	108109624	subgenus	 	3+ 	1
111746776	Leguminosae	hasMember	112486732	Physostigma	 	3+ 	1
101942724	Haliotis	hasMember	108110373	species	 	3+ 	1
102279819	Danaus	hasMember	108109624	subgenus	 	3+ 	1
112701178	Lepidobotryaceae	hasMember	101332653	Flaviviridae	 	3+ 	1
102048832	Gavidae	hasMember	101332653	Flaviviridae	 	3+ 	1
101611252	Falco	hasMember	108110373	species	 	3+ 	1
112874231	Orobanchaceae	hasMember	108108627	subfamily	 	3+ 	1
108383185	Kashag	hasMember	110317007	officer	 	3+ 	0.8
107949463	nationality	hasMember	108524735	city	 	3+ 	0.8
102654256	Ostraciidae	hasMember	101333610	Reoviridae	 	3+ 	1
113078133	Moniliaceae	hasMember	101333610	Reoviridae	 	3+ 	1
108247251	quartet	hasMember	110340312	musician	 	3+ 	1
108413529	zoning board	hasMember	110787470	woman	 	3+ 	0.8
108226978	crossroads	hasMember	110287213	man	 	3+ 	0.8
102426634	Taurotragus	hasMember	102426813	eland	 	3+ 	1
111566230	asterid dicot family	hasMember	108108627	subfamily	 	3+ 	1
108278822	dancing school	hasMember	108400965	membership	 	3+ 	1
112815434	Crescentia	hasMember	108109624	subgenus	 	3+ 	1
102174153	Melolonthidae	hasMember	102174521	Melolontha	 	3+ 	1
102599784	Mullidae	hasMember	101332347	Togaviridae	 	3+ 	1
102617402	Zoarces	hasMember	108110373	species	 	3+ 	1
108336355	traffic court	hasMember	108414119	jury	 	3+ 	1
111825535	Froelichia	hasMember	111825749	cottonweed	 	3+ 	1
101885724	Notoryctidae	hasMember	101333082	Arenaviridae	 	3+ 	1
102189214	Cecidomyidae	hasMember	102189363	gall midge	 	3+ 	1
101556040	Muscicapa	hasMember	108109624	subgenus	 	3+ 	1
101953197	Cypraea	hasMember	101953361	cowrie	 	3+ 	1
111962500	Echinops	hasMember	111962667	globe thistle	 	3+ 	1
102193496	Gasterophilus	hasMember	108110373	species	 	3+ 	1
102136623	Fossa	hasMember	108109624	subgenus	 	3+ 	1
112600417	Polygonales	hasMember	112600574	Polygonaceae	 	3+ 	1
102049672	Podicipedidae	hasMember	108108627	subfamily	 	3+ 	1
108003173	film company	hasMember	108357992	quorum	 	3+ 	1
113020011	Volvariella	hasMember	113020481	Volvariella bombycina	 	3+ 	1
108328563	research colloquium	hasMember	109953965	conferee	 	3+ 	1
102038329	Steganopus	hasMember	102038466	Wilson`s phalarope	 	3+ 	1
108263560	Socialist Labor Party	hasMember	108357992	quorum	 	3+ 	1
101705717	Hadrosauridae	hasMember	101333082	Arenaviridae	 	3+ 	1
102539752	Prosopium	hasMember	108110373	species	 	3+ 	1
112457250	Hostaceae	hasMember	101333610	Reoviridae	 	3+ 	1
113070003	Hygrophoraceae	hasMember	101333301	Rhabdoviridae	 	3+ 	1
108236251	Rotary Club	hasMember	110287213	man	 	3+ 	0.8
108249459	concert band	hasMember	110287213	man	 	3+ 	0.8
107993279	fauna	hasMember	107993929	animal group	 	3+ 	1
111658104	Prumnopitys	hasMember	108109624	subgenus	 	3+ 	1
112701491	genus Lepidobotrys	hasMember	108109624	subgenus	 	3+ 	1
102440705	Mustelidae	hasMember	102444500	Lutrinae	 	3+ 	1
101755274	Crotalus	hasMember	101756733	rock rattlesnake	 	3+ 	1
108261810	Liberal Party	hasMember	108400965	membership	 	3+ 	1
108259753	Federalist Party	hasMember	108400965	membership	 	3+ 	1
101605119	Accipitridae	hasMember	101606335	Accipiter	 	3+ 	1
101959668	Cardiidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
102422249	Damaliscus	hasMember	108110373	species	 	3+ 	1
101811682	Columbidae	hasMember	101333082	Arenaviridae	 	3+ 	1
113169219	Filicopsida	hasMember	113227235	Thelypteridaceae	 	3+ 	1
101636984	Aneides	hasMember	108109624	subgenus	 	3+ 	1
108147188	Protestant denomination	hasMember	108357992	quorum	 	3+ 	1
112250874	genus Diapensia	hasMember	108109624	subgenus	 	3+ 	1
111976715	Hazardia	hasMember	108109624	subgenus	 	3+ 	1
111693812	Annona	hasMember	111693981	custard apple	 	3+ 	1
108088472	Episcopal Church	hasMember	109847727	believer	 	3+ 	1
102043659	Rynchops	hasMember	108109624	subgenus	 	3+ 	1
101809977	Tinamiformes	hasMember	108107191	suborder	 	3+ 	1
108419984	nondepository financial institution	hasMember	108357992	quorum	 	3+ 	1
102214972	Sphecoidea	hasMember	108108627	subfamily	 	3+ 	1
102418934	Capricornis	hasMember	102419056	serow	 	3+ 	1
101917167	Maeandra	hasMember	108109624	subgenus	 	3+ 	1
108320385	Palestine Liberation Organization	hasMember	110287213	man	 	3+ 	0.8
113172107	Polypodiaceae	hasMember	113174515	Campyloneurum	 	3+ 	1
112191965	Pseudobombax	hasMember	108109624	subgenus	 	3+ 	1
101741744	Boidae	hasMember	101742967	Eunectes	 	3+ 	1
101638952	Sirenidae	hasMember	101332347	Togaviridae	 	3+ 	1
107943646	ancients	hasMember	108654360	state	 	3+ 	0.8
112620031	Rosa	hasMember	108109624	subgenus	 	3+ 	1
108154213	Capetian dynasty	hasMember	110308275	clansman	 	3+ 	1
101800759	Megapodiidae	hasMember	101331345	Bunyaviridae	 	3+ 	1
101441272	chub	hasMember	102530052	whitebait	 	3+ 	1
101959187	Tridacnidae	hasMember	101959333	Tridacna	 	3+ 	1
111742745	Leitneria	hasMember	108109624	subgenus	 	3+ 	1
108466175	cubism	hasMember	110287213	man	 	3+ 	0.8
112162905	genus Bryonia	hasMember	108109624	subgenus	 	3+ 	1
108306047	caste	hasMember	100007846	person	 	3+ 	1
108481604	typing pool	hasMember	110287213	man	 	3+ 	0.8
112182858	Malacothamnus	hasMember	112183026	chaparral mallow	 	3+ 	1
108185758	utility	hasMember	108357992	quorum	 	3+ 	1
